,Name,Rating,Genre,Release date,Runtime,Director,Url
130,A Christmas Mystery,81.0,"Family,Comedy,Drama,Fantasy,Mystery,Thriller",11/24/2022,1h 27m,Alex Ranarivelo,https://www.themoviedb.org/movie/987919
131,Teasing Master Takagi-san: The Movie,88.0,"Animation,Comedy,Romance",06/10/2022,1h 13m,Hiroaki Akagi,https://www.themoviedb.org/movie/938567
132,The Fallout,74.0,Drama,01/27/2022,1h 36m,Megan Park,https://www.themoviedb.org/movie/795514
133,Avengers: Infinity War,83.0,"Adventure,Action,Science Fiction",04/27/2018,2h 29m,Anthony Russo,https://www.themoviedb.org/movie/299536
134,Christmas with You,58.0,"Romance,Comedy",11/17/2022,1h 31m,Gabriela Tagliavini,https://www.themoviedb.org/movie/936960
135,The Ledge,62.0,"Thriller,Adventure,Mystery,Action,Crime",06/15/2022,1h 26m,Howard J. Ford,https://www.themoviedb.org/movie/924482
136,RRR,78.0,"Action,Drama",03/25/2022,3h 7m,S. S. Rajamouli,https://www.themoviedb.org/movie/579974
137,One Way,53.0,"Crime,Action,Thriller",09/02/2022,1h 36m,Andrew Baird,https://www.themoviedb.org/movie/747803
138,Bubble,75.0,"Animation,Adventure,Science Fiction",04/28/2022,1h 41m,Tetsuro Araki,https://www.themoviedb.org/movie/912598
139,Wakanda,80.0,Music,07/06/2018,null,Ahmed Amrani,https://www.themoviedb.org/movie/950044
140,Fullmetal Alchemist: The Revenge of Scar,69.0,"Fantasy,Action,Adventure",05/20/2022,2h 5m,Fumihiko Sori,https://www.themoviedb.org/movie/960700
141,Fantastic Beasts: The Secrets of Dumbledore,68.0,"Fantasy,Adventure,Action",04/15/2022,2h 22m,David Yates,https://www.themoviedb.org/movie/338953
142,My Hero Academia: World Heroes' Mission,76.0,"Animation,Action,Adventure,Science Fiction",08/06/2021,1h 45m,Kenji Nagasaki,https://www.themoviedb.org/movie/768744
143,Halloween Ends,65.0,"Horror,Thriller",10/14/2022,1h 51m,David Gordon Green,https://www.themoviedb.org/movie/616820
144,Strange World,63.0,"Animation,Science Fiction,Adventure,Family",11/23/2022,1h 42m,Don Hall,https://www.themoviedb.org/movie/877269
145,"Monica, O My Darling",76.0,"Crime,Comedy,Drama",11/11/2022,2h 9m,Vasan Bala,https://www.themoviedb.org/movie/915831
146,White Elephant,66.0,"Action,Crime,Thriller",09/22/2022,1h 33m,Jesse V. Johnson,https://www.themoviedb.org/movie/843633
147,Paws of Fury: The Legend of Hank,67.0,"Family,Comedy,Animation,Action",07/22/2022,1h 38m,Mark Koetsier,https://www.themoviedb.org/movie/366672
148,Don't Come Back Alive,61.0,"Thriller,Fantasy,Horror",09/29/2022,1h 25m,Néstor Sánchez Sotelo,https://www.themoviedb.org/movie/812488
149,The Temptation of Kimono,46.0,"Drama,Romance",03/27/2009,1h 25m,Tadashi Kyouya,https://www.themoviedb.org/movie/247136
150,Trick or Treat Scooby-Doo!,73.0,"Adventure,Mystery,Comedy,Animation,Family",10/04/2022,1h 18m,Audie Harrison,https://www.themoviedb.org/movie/1015724
151,End of the Road,64.0,"Thriller,Drama,Crime",09/09/2022,1h 29m,Millicent Shelton,https://www.themoviedb.org/movie/773975
152,Nice Sister-In-Law 3,69.0,Romance,06/07/2018,1h 22m,Lee Ri-dan,https://www.themoviedb.org/movie/682908
